end user	0.301
firing line	0.324
game plan	0.196
application form	0.207
snail mail	0.830
web site	0.954
flea market	0.227
grandfather clock	0.139
diamond wedding	1.000
guilt trip	0.211
silver spoon	0.224
rush hour	0.359
china clay	0.364
cocktail dress	0.092
mailing list	0.144
spelling bee	0.902
public service	0.112
head teacher	0.304
video game	0.198
spinning jenny	0.234
think tank	0.471
cash cow	0.393
swan song	0.363
monkey business	0.909
snake oil	0.337
smoking gun	0.318
balance sheet	0.357
zebra crossing	0.229
cutting edge	0.329
radio station	0.130
search engine	0.897
shrinking violet	0.184
face value	0.382
human being	0.132
sacred cow	0.371
number crunching	0.172
silver screen	0.114
melting pot	0.327
kangaroo court	0.163
ground floor	0.212
rat run	0.359
law firm	0.410
polo shirt	0.199
ivory tower	0.407
lip service	0.721
health insurance	0.114
couch potato	0.341
chain reaction	0.160
silver bullet	0.130
graduate student	0.045
cloud nine	0.356
front runner	0.380
agony aunt	0.525
rock bottom	0.325
acid test	0.292
climate change	0.198
lotus position	0.122
sitting duck	0.307
car park	0.257
gold mine	0.339
gravy train	0.217
case study	0.188
night owl	0.387
pecking order	0.259
eye candy	0.827
nest egg	0.361
role model	0.231
fashion plate	0.233
crocodile tear	0.289
rat race	0.542
crash course	0.344
rocket science	0.938
memory lane	0.325
smoking jacket	0.079
interest rate	0.143
engine room	0.146
blame game	0.939
brass ring	0.930
panda car	0.274
research project	0.000
call centre	0.957
graveyard shift	0.911
credit card	0.181
cheat sheet	0.903
parking lot	0.499
fine line	0.307
brick wall	0.114
speed limit	0.203
swimming pool	0.183
bank account	0.212
